name,path,stage,value,risk,priority,last_commit,languages,is_duplicate,duplicate_of
Finco_scraper,/Users/wojciechwiesner/ai/Finco_scraper,beta,10,1,14,2025-10-27T00:01:43,python,False,
AIVIZIA,/Users/wojciechwiesner/ai/AIVIZIA,beta,5.0,3,4,,python,False,
Car-advisor,/Users/wojciechwiesner/ai/Car-advisor,beta,5.0,3,4,,python,False,
MCP-Vibe,/Users/wojciechwiesner/ai/MCP-Vibe,beta,3.0,4,0,2025-09-12T03:29:26,python,False,
Modern Redesign Proposal for Online Language Learning Platform,/Users/wojciechwiesner/ai/Modern Redesign Proposal for Online Language Learning Platform,beta,2.0,5,0,2025-07-14T01:54:51,python,False,
AI DJ Software Design and Branding Proposal,/Users/wojciechwiesner/ai/AI DJ Software Design and Branding Proposal,idea,1.0,6,0,,bash,False,
Automatyzacja Modułu Wycen na Stronie hoszman,/Users/wojciechwiesner/ai/Automatyzacja Modułu Wycen na Stronie hoszman,idea,0.0,6,0,,,False,
Home compliance,/Users/wojciechwiesner/ai/Home compliance,idea,0.0,6,0,,bash,False,
Modern Redesign Proposal for Online Language Learning Platform 2,/Users/wojciechwiesner/ai/Modern Redesign Proposal for Online Language Learning Platform 2,idea,0.0,6,0,,,False,
New Folder with Items,/Users/wojciechwiesner/ai/New Folder with Items,idea,0.0,6,0,,,False,
